,S_1EB,S_1EC,S_1EM,S_2EB,S_2EC,S_2EM,S_3EB,S_3EC,S_3EM,S_4EB,S_4EC,S_4EM,S_5EB,S_5EC,S_5EM,S_6EB,S_6EC,S_6EM
S_1EB,0,-1,1,1,1,0.77,1,-0.7,0.89,-1,1,1,-1,1,-0.45,1,1,-1
S_1EC,-1,0,1,1,1,1,1,-1,1,-1,1,-1,0.32,1,1,1,-0.71,-1
S_1EM,1,1,0,1,1,1,1,1,1,1,1,0.27,1,1,1,1,1,0.87
S_2EB,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S_2EC,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
S_2EM,0.77,1,1,1,1,0,1,-0.65,-1,-0.99,1,0.93,1,1,-1,1,1,0.81
S_3EB,1,1,1,1,1,1,0,1,1,1,0.65,1,1,1,1,1,1,1
S_3EC,-0.7,-1,1,1,1,-0.65,1,0,0.96,-0.95,1,-1,0.96,1,0.99,1,-1,-1
S_3EM,0.89,1,1,1,1,-1,1,0.96,0,-1,1,1,1,1,0.99,1,-0.55,0.73
S_4EB,-1,-1,1,1,1,-0.99,1,-0.95,-1,0,1,0.52,-1,1,-1,1,0.93,-1
S_4EC,1,1,1,1,1,1,0.65,1,1,1,0,1,1,1,1,1,1,1
S_4EM,1,-1,0.27,1,1,0.93,1,-1,1,0.52,1,0,1,1,0.92,1,-1,-1
S_5EB,-1,0.32,1,1,1,1,1,0.96,1,-1,1,1,0,1,-0.64,1,1,0.8
S_5EC,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
S_5EM,-0.45,1,1,1,1,-1,1,0.99,0.99,-1,1,0.92,-0.64,1,0,1,1,0.85
S_6EB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
S_6EC,1,-0.71,1,1,1,1,1,-1,-0.55,0.93,1,-1,1,1,1,1,0,-1
S_6EM,-1,-1,0.87,1,1,0.81,1,-1,0.73,-1,1,-1,0.8,1,0.85,1,-1,0
