OTU,Phyla
1Fungi_Ascomycota,Ascomycota
2Fungi_Ascomycota,Ascomycota
3Fungi,
4Fungi,
5Fungi,
6Fungi,
7Fungi,
8Sordariomycetes_Hypocreales,Ascomycota
9Hypocreales_Acremonium,Ascomycota
10Fungi_Ascomycota,Ascomycota
11Fungi_Basidiomycota,Basidiomycota
12Fungi,
13Fungi,
14Fungi,
15Fungi,
16Fungi,
17Fungi,
18Fungi_Basidiomycota,Basidiomycota
19Fungi,
20Fungi_Basidiomycota,Basidiomycota
21Fungi,
22Hypocreales_Lecanicillium,Ascomycota
23Fungi,
24Chaetothyriales_Cyphellophora,Ascomycota
25Fungi,
26Fungi,
27Fungi_Basidiomycota,Basidiomycota
28Fungi,
29Fungi,
30Fungi,
31Fungi,
32Fungi,
33Capnodiales_Toxicocladosporium,Ascomycota
34Fungi,
35Fungi,
36Fungi,
37Basidiomycota_Agaricomycetes,Basidiomycota
38Fungi,
39Fungi,
40Fungi_Basidiomycota,Basidiomycota
41Fungi,
42Fungi_Basidiomycota,Basidiomycota
43Fungi_Basidiomycota,Basidiomycota
44Fungi,
45Fungi,
46Fungi,
47Fungi,
48Hypocreales_Acremonium,Ascomycota
49Fungi_Basidiomycota,Basidiomycota
50Hypocreales_Acremonium,Ascomycota
51Fungi,
52Fungi,
53Hypocreales_Paramyrothecium,Ascomycota
54Fungi_Ascomycota,Ascomycota
55Fungi_Basidiomycota,Basidiomycota
56Fungi,
57Fungi_Basidiomycota,Basidiomycota
58Fungi,
59Fungi,
60Fungi,
61Fungi,
62Fungi,
63Fungi_Basidiomycota,Basidiomycota
64Fungi,
65Fungi,
66Fungi,
67Hypocreales_Acremonium,Ascomycota
68Fungi_Basidiomycota,Basidiomycota
69Fungi_Basidiomycota,Basidiomycota
70Fungi,
71Fungi_Basidiomycota,Basidiomycota
72Fungi,
73Fungi_Basidiomycota,Basidiomycota
74Fungi_Ascomycota,Ascomycota
75Fungi_Basidiomycota,Basidiomycota
76Fungi,
77Fungi_Basidiomycota,Basidiomycota
78Fungi_Ascomycota,Ascomycota
79Basidiomycota_Agaricomycetes,Basidiomycota
80Fungi,
81Fungi,
82Fungi_Ascomycota,Ascomycota
83Fungi,
84Fungi,
85Pleosporales_Alternaria,Ascomycota
86Eurotiales_Aspergillus,Ascomycota
87Capnodiales_Cladosporium,Ascomycota
88Basidiomycota_Agaricomycetes,Basidiomycota
89Fungi_Basidiomycota,Basidiomycota
90Fungi_Basidiomycota,Basidiomycota
91Hypocreales_Stachybotrys,Ascomycota
92Fungi,
93Fungi,
94Fungi,
95Fungi,
96Hypocreales_Acremonium,Ascomycota
97Fungi,
98Eurotiomycetes_Chaetothyriales,Ascomycota
99Fungi,
100Fungi,
101Fungi,
102Fungi_Basidiomycota,Basidiomycota
103Capnodiales_Cladosporium,Ascomycota
104Fungi,
105Fungi,
106Fungi,
107Sordariomycetes_Hypocreales,Ascomycota
108Sordariomycetes_Hypocreales,Ascomycota
109Fungi,
110Fungi,
111Fungi_Basidiomycota,Basidiomycota
112Fungi,
113Fungi,
114Sordariomycetes_Hypocreales,Ascomycota
115Fungi,
116Fungi_Basidiomycota,Basidiomycota
117Chaetothyriales_Exophiala,Ascomycota
118Fungi,
119Fungi,
120Fungi_Basidiomycota,Basidiomycota
121Fungi,
122Fungi,
123Fungi_Basidiomycota,Basidiomycota
124Basidiomycota_Agaricomycetes,Basidiomycota
125Fungi,
126Fungi,
127Fungi,
128Fungi_Basidiomycota,Basidiomycota
129Fungi,
130Eurotiales_Penicillium,Ascomycota
131Fungi,
132Fungi_Basidiomycota,Basidiomycota
133Fungi,
134Fungi_Basidiomycota,Basidiomycota
135Basidiomycota_Agaricomycetes,Basidiomycota
136Fungi,
137Fungi,
138Fungi_Basidiomycota,Basidiomycota
139Fungi,
140Fungi_Basidiomycota,Basidiomycota
141Fungi_Ascomycota,Ascomycota
142Dothideales_Aureobasidium,Ascomycota
143Fungi,
144Fungi,
145Fungi,
146Entomophthorales_Entomophthora,Entomophthoromycota
147Capnodiales_Toxicocladosporium,Ascomycota
148Fungi,
149Fungi,
150Fungi_Basidiomycota,Basidiomycota
151Basidiomycota_Agaricomycetes,Basidiomycota
152Fungi,
153Fungi_Ascomycota,Ascomycota
154Fungi,
155Fungi_Ascomycota,Ascomycota
156Fungi,
157Fungi,
158Fungi,
159Fungi,
160Fungi_Ascomycota,Ascomycota
161Fungi,
162Fungi_Basidiomycota,Basidiomycota
163Fungi,
