"","S_1WB","S_1WC","S_1WM","S_2WB","S_2WC","S_2WM","S_3WB","S_3WC","S_3WM","S_4WB","S_4WC","S_4WM","S_5WB","S_5WC","S_5WM","S_6WB","S_6WC","S_6WM"
"S_1WB",NA,0.333333333333333,0.333333333333333,1,0.333333333333333,0.753333333333333,1,-0.233333333333333,0.32,0.333333333333333,1,0.333333333333333,0.333333333333333,1,0.516666666666667,1,1,-0.333333333333333
"S_1WC",0.333333333333333,NA,0.333333333333333,1,0.953333333333333,1,0.99,-0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.75,1,0.366666666666667,0.333333333333333,-0.236666666666667,-0.326666666666667
"S_1WM",0.333333333333333,0.333333333333333,NA,1,0.333333333333333,-0.333333333333333,1,-0.333333333333333,-0.333333333333333,1,0.333333333333333,0.09,1,1,-0.153333333333333,0.47,0.72,-0.253333333333333
"S_2WB",1,1,1,NA,1,1,0.99,1,1,1,1,1,1,1,1,0.366666666666667,1,1
"S_2WC",0.333333333333333,0.953333333333333,0.333333333333333,1,NA,0.333333333333333,1,-0.273333333333333,0.333333333333333,1,1,0.333333333333333,0.336666666666667,1,0.533333333333333,0.436666666666667,1,0.333333333333333
"S_2WM",0.753333333333333,1,-0.333333333333333,1,0.333333333333333,NA,1,-0.883333333333333,-1,0.336666666666667,0.786666666666667,0.31,1,1,-1,0.333333333333333,1,0.27
"S_3WB",1,0.99,1,0.99,1,1,NA,1,1,1,0.883333333333333,1,0.773333333333333,1,1,1,1,1
"S_3WC",-0.233333333333333,-0.333333333333333,-0.333333333333333,1,-0.273333333333333,-0.883333333333333,1,NA,-0.346666666666667,0.35,0.556666666666667,-0.333333333333333,0.986666666666667,1,0.32,0.333333333333333,0.31,-0.466666666666667
"S_3WM",0.32,0.333333333333333,-0.333333333333333,1,0.333333333333333,-1,1,-0.346666666666667,NA,0.333333333333333,0.333333333333333,0.333333333333333,1,1,-0.313333333333333,0.983333333333333,0.456666666666667,-0.423333333333333
"S_4WB",0.333333333333333,0.333333333333333,1,1,1,0.336666666666667,1,0.35,0.333333333333333,NA,1,0.84,0.333333333333333,1,0.333333333333333,1,0.976666666666667,0.333333333333333
"S_4WC",1,0.333333333333333,0.333333333333333,1,1,0.786666666666667,0.883333333333333,0.556666666666667,0.333333333333333,1,NA,1,1,1,0.333333333333333,1,0.333333333333333,0.333333333333333
"S_4WM",0.333333333333333,0.333333333333333,0.09,1,0.333333333333333,0.31,1,-0.333333333333333,0.333333333333333,0.84,1,NA,1,1,0.933333333333333,1,0.333333333333333,-0.333333333333333
"S_5WB",0.333333333333333,0.75,1,1,0.336666666666667,1,0.773333333333333,0.986666666666667,1,0.333333333333333,1,1,NA,0.496666666666667,0.453333333333333,0.333333333333333,1,0.933333333333333
"S_5WC",1,1,1,1,1,1,1,1,1,1,1,1,0.496666666666667,NA,1,1,1,1
"S_5WM",0.516666666666667,0.366666666666667,-0.153333333333333,1,0.533333333333333,-1,1,0.32,-0.313333333333333,0.333333333333333,0.333333333333333,0.933333333333333,0.453333333333333,1,NA,0.333333333333333,1,0.49
"S_6WB",1,0.333333333333333,0.47,0.366666666666667,0.436666666666667,0.333333333333333,1,0.333333333333333,0.983333333333333,1,1,1,0.333333333333333,1,0.333333333333333,NA,1,1
"S_6WC",1,-0.236666666666667,0.72,1,1,1,1,0.31,0.456666666666667,0.976666666666667,0.333333333333333,0.333333333333333,1,1,1,1,NA,-0.333333333333333
"S_6WM",-0.333333333333333,-0.326666666666667,-0.253333333333333,1,0.333333333333333,0.27,1,-0.466666666666667,-0.423333333333333,0.333333333333333,0.333333333333333,-0.333333333333333,0.933333333333333,1,0.49,1,-0.333333333333333,NA
